序号	名称        	上映时间	豆瓣评分	豆瓣链接                        	
87	禁闭岛       	2010	8.6	https://movie.douban.com/subject/2334904/	
88	甜蜜蜜       	1996	8.7	https://movie.douban.com/subject/1305164/	
89	阳光姐妹淘     	2011	8.8	https://movie.douban.com/subject/4917726/	
90	致命ID      	2003	8.6	https://movie.douban.com/subject/1297192/	
91	一一        	2000	8.9	https://movie.douban.com/subject/1292434/	
92	告白        	2010	8.7	https://movie.douban.com/subject/4268598/	
93	狩猎        	2012	9.0	https://movie.douban.com/subject/6985810/	
94	加勒比海盗     	2003	8.6	https://movie.douban.com/subject/1298070/	
95	布达佩斯大饭店   	2014	8.7	https://movie.douban.com/subject/11525673/	
96	断背山       	2005	8.6	https://movie.douban.com/subject/1418834/	
97	爱在黎明破晓前   	1995	8.7	https://movie.douban.com/subject/1296339/	
98	末代皇帝      	1987	8.9	https://movie.douban.com/subject/1293172/	
99	阿凡达       	2009	8.6	https://movie.douban.com/subject/1652587/	
100	摩登时代      	1936	9.2	https://movie.douban.com/subject/1294371/	
101	风之谷       	1984	8.8	https://movie.douban.com/subject/1291585/	
102	猫鼠游戏      	2002	8.7	https://movie.douban.com/subject/1305487/	
103	爱在日落黄昏时   	2004	8.7	https://movie.douban.com/subject/1291990/	
104	哈利·波特与魔法石 	2001	8.6	https://movie.douban.com/subject/1295038/	
105	侧耳倾听      	1995	8.8	https://movie.douban.com/subject/1297052/	
106	萤火虫之墓     	1988	8.7	https://movie.douban.com/subject/1293318/	
107	驯龙高手      	2010	8.7	https://movie.douban.com/subject/2353023/	
108	穿条纹睡衣的男孩  	2008	8.9	https://movie.douban.com/subject/3008247/	
109	超脱        	2011	8.8	https://movie.douban.com/subject/5322596/	
110	消失的爱人     	2014	8.7	https://movie.douban.com/subject/21318488/	
111	海洋        	2009	9.0	https://movie.douban.com/subject/3443389/	
112	幸福终点站     	2004	8.6	https://movie.douban.com/subject/1292274/	
113	菊次郎的夏天    	1999	8.7	https://movie.douban.com/subject/1293359/	
114	倩女幽魂      	1987	8.6	https://movie.douban.com/subject/1297447/	
115	神偷奶爸      	2010	8.5	https://movie.douban.com/subject/3287562/	
116	七武士       	1954	9.2	https://movie.douban.com/subject/1295399/	
117	恐怖直播      	2013	8.7	https://movie.douban.com/subject/21360417/	
118	岁月神偷      	2010	8.6	https://movie.douban.com/subject/3792799/	
119	电锯惊魂      	2004	8.7	https://movie.douban.com/subject/1417598/	
120	谍影重重3     	2007	8.7	https://movie.douban.com/subject/1578507/	
121	借东西的小人阿莉埃蒂	2010	8.7	https://movie.douban.com/subject/4202302/	
122	燃情岁月      	1994	8.8	https://movie.douban.com/subject/1295865/	
123	真爱至上      	2003	8.5	https://movie.douban.com/subject/1292401/	
124	雨人        	1988	8.6	https://movie.douban.com/subject/1291870/	
125	红辣椒       	2006	8.8	https://movie.douban.com/subject/1865703/	
126	贫民窟的百万富翁  	2008	8.5	https://movie.douban.com/subject/2209573/	
127	杀人回忆      	2003	8.6	https://movie.douban.com/subject/1300299/	
128	东邪西毒      	1994	8.6	https://movie.douban.com/subject/1292328/	
129	虎口脱险      	1966	8.9	https://movie.douban.com/subject/1296909/	
130	记忆碎片      	2000	8.5	https://movie.douban.com/subject/1304447/	
131	疯狂原始人     	2013	8.7	https://movie.douban.com/subject/1907966/	
132	怪兽电力公司    	2001	8.6	https://movie.douban.com/subject/1291579/	
133	卢旺达饭店     	2004	8.8	https://movie.douban.com/subject/1291822/	
134	黑天鹅       	2010	8.5	https://movie.douban.com/subject/1978709/	
135	喜宴        	1993	8.8	https://movie.douban.com/subject/1303037/	
136	小森林 夏秋篇   	2014	8.9	https://movie.douban.com/subject/25814705/	
137	喜剧之王      	1999	8.5	https://movie.douban.com/subject/1302425/	
138	穿越时空的少女   	2006	8.6	https://movie.douban.com/subject/1937946/	
139	魂断蓝桥      	1940	8.8	https://movie.douban.com/subject/1293964/	
140	猜火车       	1996	8.5	https://movie.douban.com/subject/1292528/	
141	恋恋笔记本     	2004	8.5	https://movie.douban.com/subject/1309163/	
142	英雄本色      	1986	8.7	https://movie.douban.com/subject/1297574/	
143	雨中曲       	1952	8.9	https://movie.douban.com/subject/1293460/	
144	傲慢与偏见     	2005	8.4	https://movie.douban.com/subject/1418200/	
145	教父3       	1990	8.7	https://movie.douban.com/subject/1294240/	
146	完美的世界     	1993	9.0	https://movie.douban.com/subject/1300992/	
147	纵横四海      	1991	8.7	https://movie.douban.com/subject/1295409/	
148	玩具总动员3    	2010	8.7	https://movie.douban.com/subject/1858711/	
